Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureKNN,measureTreeSize
AAPL,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1100.0,158.0,148.0,10.0,0.0,93.67088607594937,6.329113924050633,0.0,0.872271624898949,0.0645553991767137,0.20667846387234845,12.940809002109976,41.38820664732304,157.71084503760775,28.020631215380135,129.69021382222763,0.9981699053013149,0.17734576718595021,0.8208241381153648,137.56784020488473,0.8706825329423085,87.22788859071821,0.8666666666666667,65.0,0.0,0.0,1.0,83.0,0.13333333333333333,10.0,1.0,0.8666666666666667,0.9285714285714286,0.8794752426924595,0.9980722891566265,0.9978433201234221,0.9367088607594937,0.070042194092827,0.929957805907173,0.06329113924050633,0.9435143596025588,0.9367088607594937,0.936246506657899,0.8794752426924594,0.9980722891566266,0.9981202529563991,0.9358766233766234,0.9367088607594937,0.21,0.001,0.206944,6.09E-4,206.944,0.609,13503.0,139097.0,21347.0,100.0,57.278481012658226,?,?,?
AAPL,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1100.0,158.0,156.0,2.0,0.0,98.73417721518987,1.2658227848101267,0.0,0.9746184738955824,0.029473120270323255,0.09561353988989202,5.908197067613351,19.147001932862533,157.71084503760775,8.2355941814729,149.47525085613486,0.9981699053013149,0.052124013806790506,0.9460458914945244,149.50065741139895,0.9462066924772086,94.79415152188741,0.9866666666666667,74.0,0.012048192771084338,1.0,0.9879518072289156,82.0,0.013333333333333334,1.0,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.9746184738955823,0.9996787148594377,0.999646783625731,0.9873417721518988,0.012723298256316405,0.9872767017436835,0.012658227848101266,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.9746184738955823,0.9996787148594378,0.9996834136719311,0.9873092369477912,0.9873417721518988,0.173,0.001,0.172618,3.08E-4,172.618,0.308,13503.0,139097.0,21347.0,100.0,56.0126582278481,?,?,?
AAPL,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1101.0,157.0,156.0,1.0,0.0,99.36305732484077,0.6369426751592356,0.0,0.9872430324205737,0.03100922145131109,0.09889379172655136,6.214656090299405,19.798419847900043,156.7751009619948,8.592309065467584,148.18279189652722,0.9985675220509224,0.05472808321953875,0.9438394388313835,148.20135649957152,0.9439576847106466,94.53118230521711,1.0,75.0,0.012195121951219513,1.0,0.9878048780487805,81.0,0.0,0.0,0.9868421052631579,1.0,0.9933774834437086,0.9873233743018928,1.0,1.0,0.9936305732484076,0.005825695199627156,0.9941743048003727,0.006369426751592357,0.993714381495139,0.9936305732484076,0.993632125946596,0.9873233743018927,1.0,1.0,0.9936212570592776,0.9936305732484076,0.233,0.0,0.23211,2.61E-4,232.11,0.261,13503.0,139222.0,21222.0,100.0,56.36942675159236,?,?,?
AAPL,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1101.0,157.0,156.0,1.0,0.0,99.36305732484077,0.6369426751592356,0.0,0.9872285040266818,0.02336091369364179,0.08487283623243654,4.681834556507751,16.991441182254672,156.7751009619948,6.424899271376103,150.35020169061872,0.9985675220509224,0.04092292529538919,0.9576445967555333,150.35546965755339,0.9576781506850535,95.90519714862269,0.9866666666666667,74.0,0.0,0.0,1.0,82.0,0.013333333333333334,1.0,1.0,0.9866666666666667,0.9932885906040269,0.9873090278458228,1.0,1.0,0.9936305732484076,0.006963906581740978,0.993036093418259,0.006369426751592357,0.9937073133297522,0.9936305732484076,0.9936285006263205,0.9873090278458228,1.0,1.0,0.9936139922717104,0.9936305732484076,0.337,0.0,0.333794,3.3E-4,333.794,0.33,13503.0,139222.0,21222.0,100.0,55.095541401273884,?,?,?
AAPL,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1101.0,157.0,152.0,5.0,0.0,96.81528662420382,3.1847133757961785,0.0,0.9359967386873217,0.05401425710199143,0.15417550418412274,10.825168003297168,30.86575313584021,156.7751009619948,17.854520383075926,138.92058057891887,0.9985675220509224,0.11372305976481481,0.8848444622861075,141.27161668031914,0.8998192145243258,90.1110034778839,0.9333333333333333,70.0,0.0,0.0,1.0,82.0,0.06666666666666667,5.0,1.0,0.9333333333333333,0.9655172413793104,0.937919765539696,0.9995121951219512,0.9994666034455508,0.9681528662420382,0.03481953290870488,0.9651804670912951,0.03184713375796178,0.9699831612855991,0.9681528662420382,0.9680748891750938,0.937919765539696,0.9995121951219513,0.9995203894316511,0.9679657212813711,0.9681528662420382,0.192,0.0,0.18213200000000002,3.66E-4,182.132,0.366,13503.0,139222.0,21222.0,100.0,60.19108280254777,?,?,?
AAPL,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1101.0,157.0,153.0,4.0,0.0,97.45222929936305,2.5477707006369426,0.0,0.9488849096532639,0.04038218019902268,0.13405853420786948,8.093120380576776,26.83835959875401,156.7751009619948,13.823389415531025,142.9517115464638,0.9985675220509224,0.08804706634096195,0.9105204557099605,145.0637012083327,0.9239726191613548,92.5298088269124,0.96,72.0,0.012195121951219513,1.0,0.9878048780487805,81.0,0.04,3.0,0.9863013698630136,0.96,0.9729729729729729,0.9491949617261625,0.9983739837398374,0.9983059129304743,0.9745222929936306,0.02671741494485009,0.97328258505515,0.025477707006369428,0.9748027472048063,0.9745222929936306,0.9745036264873577,0.9491949617261625,0.9983739837398374,0.9984179022085558,0.9744382937154021,0.9745222929936306,0.269,0.001,0.258212,3.5999999999999997E-4,258.212,0.36,13503.0,139222.0,21222.0,100.0,57.32484076433121,?,?,?
AAPL,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1101.0,157.0,150.0,7.0,0.0,95.54140127388536,4.45859872611465,0.0,0.9102930373030773,0.056201369086872066,0.16590638088801707,11.263494029584118,33.214260742969344,156.7751009619948,18.12796767758207,138.64713328441275,0.9985675220509224,0.11546476227759281,0.8831027597733296,139.5511758187856,0.8888609924763413,89.01360928009568,0.9066666666666666,68.0,0.0,0.0,1.0,82.0,0.09333333333333334,7.0,1.0,0.9066666666666666,0.9510489510489509,0.9139780113566439,0.9982113821138211,0.9980337963138983,0.9554140127388535,0.04874734607218684,0.9512526539278131,0.044585987261146494,0.958920775781865,0.9554140127388535,0.9552353260030095,0.9139780113566439,0.998211382113821,0.9982561361176869,0.9550566392671656,0.9554140127388535,0.383,0.0,0.30388299999999996,3.81E-4,303.883,0.381,13503.0,139222.0,21222.0,100.0,57.32484076433121,?,?,?
AAPL,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1101.0,157.0,155.0,2.0,0.0,98.72611464968153,1.2738853503184713,0.0,0.974500568458665,0.09709755026542444,0.1751247804500795,19.459626971210504,35.05977340528148,156.7751009619948,26.74152586359634,130.03357509839847,0.9985675220509224,0.17032819021398943,0.828239331836933,130.03203871633772,0.8282295459639345,82.9417668484614,1.0,75.0,0.024390243902439025,2.0,0.975609756097561,80.0,0.0,0.0,0.974025974025974,1.0,0.9868421052631579,0.9748175434162896,0.9998373983739838,0.9998245614035087,0.9872611464968153,0.011651390399254311,0.9883486096007458,0.012738853503184714,0.9875920258085863,0.9872611464968153,0.9872663198453787,0.9748175434162895,0.9998373983739837,0.9998394516719241,0.9872482131254061,0.9872611464968153,0.107,0.001,0.097109,3.16E-4,97.109,0.316,13503.0,139222.0,21222.0,100.0,68.47133757961784,?,?,?
AAPL,2,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1100.0,158.0,154.0,4.0,0.0,97.46835443037975,2.5316455696202533,0.0,0.9493670886075949,0.045095188995849425,0.14328523974945287,9.039805115477353,28.69345456295023,157.71084503760775,14.669110115525056,143.0417349220827,0.9981699053013149,0.09284246908560162,0.9053274362157133,144.31908313962848,0.9134119186052435,91.50866137659342,1.0,75.0,0.04819277108433735,4.0,0.9518072289156626,79.0,0.0,0.0,0.9493670886075949,1.0,0.974025974025974,0.9505863757867169,0.9983935742971888,0.9982443098251318,0.9746835443037974,0.022876315388134817,0.9771236846118652,0.02531645569620253,0.975965390161833,0.9746835443037974,0.9746997806069537,0.9505863757867168,0.9983935742971888,0.9984311047587181,0.9746673080006414,0.9746835443037974,0.364,0.001,0.33137099999999997,2.28E-4,331.371,0.228,13503.0,139097.0,21347.0,100.0,56.64556962025316,?,?,?
AAPL,2,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902080018E7,1100.0,158.0,152.0,6.0,0.0,96.20253164556962,3.7974683544303796,0.0,0.9241478636581852,0.04905637593161462,0.13994319694618645,9.833866715453972,28.024196839749706,157.71084503760775,14.864990741838998,142.84585429576876,0.9981699053013149,0.09408221988505695,0.904087685416258,143.31151908186396,0.9070349308978732,90.86979341699038,1.0,75.0,0.07228915662650602,6.0,0.927710843373494,77.0,0.0,0.0,0.9259259259259259,1.0,0.9615384615384615,0.9268179549631762,1.0,1.0,0.9620253164556962,0.03431447308220223,0.9656855269177976,0.0379746835443038,0.9648382559774966,0.9620253164556962,0.9620435735150926,0.9268179549631763,1.0,1.0,0.9620192307692308,0.9620253164556962,0.167,0.001,0.1561,2.47E-4,156.1,0.247,13503.0,139097.0,21347.0,100.0,58.22784810126582,?,?,?
